Species,Average_Length_m,Maximum_Length_m,Average_Weight_kg,Maximum_Weight_kg,Lifespan_years,Swimming_Speed_kmh,Bite_Force_N,Gestation_Period_months,Number_of_Teeth,Diet_kg_per_week
Great White Shark,4.28,6.44,1049.24,2047.47,64,51.74,19729.9,12,290,199.21
Sand Tiger Shark,3.12,3.3,157.65,318.4,13,25.88,3119.8,8,202,53.12
Great White Shark,4.84,6.39,1148.21,2194.07,64,56.33,17450.34,10,271,184.85
Sand Tiger Shark,3.19,3.31,166.23,296.03,16,24.38,2897.49,8,197,45.6
Great White Shark,4.07,6.52,1199.68,2118.57,75,55.81,18897.53,11,297,192.48
Sand Tiger Shark,2.98,2.9,157.64,306.17,13,26.23,2783.15,8,220,47.67
Great White Shark,4.4,6.45,1200.46,2009.21,67,51.59,19776.27,10,288,205.14
Sand Tiger Shark,3.22,2.93,147.42,306.11,14,26.12,2999.15,9,206,45.61
Great White Shark,4.3,6.13,1138.81,2256.88,69,58.24,17051.55,13,295,218.41
Sand Tiger Shark,3.15,3.27,169.67,274.94,14,23.2,2908.22,9,215,53.47
Great White Shark,4.5,6.16,1141.1,2278.24,63,54.68,16841.82,10,282,214.81
Sand Tiger Shark,2.83,2.99,145.59,280.23,16,21.93,3293.14,9,200,51.8
Great White Shark,4.55,6.19,1031.84,2352.04,66,56.3,17967.93,11,315,215.02
Sand Tiger Shark,2.87,3.0,157.41,277.13,13,25.14,3257.76,9,205,48.19
Great White Shark,4.52,6.44,1077.78,2243.31,74,57.5,16376.04,12,313,206.0
Sand Tiger Shark,2.79,2.98,175.23,326.78,14,22.86,2718.39,8,189,48.52
Great White Shark,4.49,6.03,1010.64,1986.65,63,52.86,16240.7,10,300,195.27
Sand Tiger Shark,3.23,2.94,151.58,300.49,15,25.54,3095.75,9,180,49.47
Great White Shark,4.6,6.96,1065.43,2057.87,71,56.13,18308.98,11,277,213.97
Sand Tiger Shark,3.04,3.03,148.12,306.59,13,23.25,2944.26,8,198,54.24
Great White Shark,4.79,5.78,1162.82,2383.51,66,56.68,18677.32,12,311,211.29
Sand Tiger Shark,2.83,3.37,148.76,309.08,16,23.99,2944.1,8,209,45.12
Great White Shark,4.85,6.83,999.63,2303.56,77,56.34,16603.85,13,314,205.17
Sand Tiger Shark,3.09,3.05,146.29,275.37,13,23.07,3122.99,8,195,52.9
Great White Shark,4.76,6.73,1033.81,2168.46,71,55.1,17371.26,11,316,206.59
Sand Tiger Shark,3.21,3.41,166.9,315.96,15,23.88,3178.75,8,205,50.62
Great White Shark,4.45,6.59,1047.82,2176.73,74,56.5,18633.9,11,288,192.59
Sand Tiger Shark,2.87,3.17,144.5,291.98,14,22.81,2791.15,9,198,52.69
Great White Shark,4.23,6.15,1123.47,2287.53,71,57.27,18768.98,10,328,212.69
Sand Tiger Shark,2.76,3.12,150.16,272.77,15,21.84,2851.0,8,197,54.93
Great White Shark,4.76,5.87,1113.18,2130.31,69,52.39,19732.61,12,306,209.81
Sand Tiger Shark,3.23,3.14,149.53,316.21,13,25.99,2751.8,8,194,50.18
Great White Shark,4.12,5.84,1117.62,2240.09,68,54.62,17827.41,12,271,181.57
Sand Tiger Shark,2.81,3.2,148.6,311.12,16,24.6,3254.93,9,204,53.19
Great White Shark,4.38,6.1,1139.34,2331.46,75,53.14,19037.32,13,317,195.02
Sand Tiger Shark,3.13,3.08,169.4,277.81,13,26.0,3116.51,9,194,52.02
Great White Shark,4.9,5.86,1110.97,2320.41,74,53.41,18599.14,10,279,195.46
Sand Tiger Shark,2.88,3.07,147.02,300.24,15,26.15,2976.09,9,187,53.08
Great White Shark,4.08,7.02,1113.63,2060.39,73,55.02,16917.3,10,329,205.81
Sand Tiger Shark,2.87,3.48,171.35,308.66,14,21.64,2790.53,9,207,46.57
Great White Shark,4.17,5.78,1007.94,2113.87,75,54.36,16510.79,11,272,196.98
Sand Tiger Shark,3.25,3.08,144.86,312.12,14,25.2,2720.08,8,209,51.29
Great White Shark,4.92,5.9,1021.4,2098.65,67,55.8,19701.63,13,277,192.81
Sand Tiger Shark,2.76,2.89,166.99,278.83,15,25.37,2726.06,9,187,54.09
Great White Shark,4.89,6.62,1126.18,2248.95,67,52.42,19099.52,10,291,217.47
Sand Tiger Shark,3.06,3.25,149.82,287.55,14,22.67,2986.34,8,190,52.99
Great White Shark,4.4,5.88,1149.03,2033.48,63,55.48,18505.97,13,295,215.46
Sand Tiger Shark,2.71,3.27,161.74,271.04,13,25.47,3182.44,9,199,50.23
Great White Shark,4.18,6.14,1161.66,2305.97,63,51.74,17481.95,11,326,196.42
Sand Tiger Shark,3.12,3.1,167.54,316.37,16,24.61,2707.97,9,200,50.04
Great White Shark,4.66,7.03,1074.88,2313.85,73,50.64,18671.78,11,306,214.66
Sand Tiger Shark,3.24,3.47,150.16,290.49,15,21.94,2863.99,8,182,47.76
Great White Shark,4.91,5.82,1109.49,2324.51,76,56.16,18392.89,13,271,216.46
Sand Tiger Shark,3.17,3.25,159.05,284.53,13,22.63,2788.99,8,209,53.74
Great White Shark,4.33,6.37,1193.29,2313.28,65,56.49,18114.05,11,271,218.31
Sand Tiger Shark,3.04,3.18,159.23,322.89,13,22.0,2964.18,8,220,49.99
Great White Shark,4.21,6.08,1012.19,1980.98,75,54.72,17304.09,10,322,204.21
Sand Tiger Shark,2.71,3.24,151.33,321.91,16,21.62,2718.84,9,216,48.09
Great White Shark,4.84,6.21,1057.76,2266.75,74,51.91,17104.61,11,317,185.67
Sand Tiger Shark,2.81,3.38,169.08,287.84,15,23.23,3057.35,8,191,51.85
Great White Shark,4.59,6.72,1120.41,2387.68,72,52.28,17007.54,11,296,217.96
Sand Tiger Shark,3.03,3.42,156.59,287.93,16,25.27,2913.77,9,205,53.92
Great White Shark,4.12,6.35,1093.54,2339.57,77,57.42,16334.84,13,299,214.57
Sand Tiger Shark,3.16,3.51,151.22,315.83,13,22.22,3275.86,8,219,51.98
Great White Shark,4.09,6.27,992.43,2390.04,63,58.17,16287.48,10,279,209.8
Sand Tiger Shark,2.75,2.93,160.63,306.02,14,23.1,2913.3,9,197,50.3
Great White Shark,4.55,5.94,1042.95,2132.59,76,57.58,19144.06,13,325,218.68
Sand Tiger Shark,3.23,2.99,155.57,297.79,14,23.88,3224.26,8,180,54.42
Great White Shark,4.38,6.46,1197.83,2026.22,69,55.8,16864.66,10,304,193.77
Sand Tiger Shark,2.72,2.91,172.45,290.42,15,22.62,3193.11,8,180,51.98
Great White Shark,4.34,6.79,1151.87,2345.4,77,59.05,16751.3,12,322,186.51
Sand Tiger Shark,2.86,3.12,150.99,325.95,16,24.11,3277.54,8,216,48.15
Great White Shark,4.62,6.24,1196.43,2340.68,64,60.54,17132.88,13,328,186.87
Sand Tiger Shark,3.01,3.02,150.75,314.57,15,23.26,3270.74,8,200,53.03
Great White Shark,4.62,6.7,1169.23,2079.47,71,53.84,17991.84,12,279,191.82
Sand Tiger Shark,2.91,2.96,166.99,271.31,16,22.59,3224.85,9,185,48.75
Great White Shark,4.07,6.34,1169.31,2095.78,66,60.71,19118.54,11,298,203.52
Sand Tiger Shark,2.87,3.44,175.87,308.43,13,25.29,2944.24,8,195,51.59
Great White Shark,4.07,6.04,1203.23,2385.03,70,58.17,19427.37,10,298,210.72
Sand Tiger Shark,2.81,3.5,163.64,296.04,14,23.6,2770.83,8,200,51.48
Great White Shark,4.72,5.85,1056.57,2098.33,77,56.06,18660.44,13,330,195.15
Sand Tiger Shark,3.25,3.26,145.27,314.5,13,25.32,3002.38,8,216,49.5
Great White Shark,4.68,6.91,1026.21,2027.72,76,51.86,17135.52,13,276,202.73
Sand Tiger Shark,3.17,3.43,160.02,292.56,13,24.73,2739.15,9,208,53.36
Great White Shark,4.25,6.8,1184.84,2308.41,63,57.67,18641.38,13,317,187.1
Sand Tiger Shark,2.91,3.29,160.73,275.8,14,23.48,3268.53,9,190,49.35
Great White Shark,4.78,6.05,1014.37,2389.02,72,59.22,18484.99,11,295,219.01
Sand Tiger Shark,2.94,3.35,153.17,299.46,14,25.43,3202.56,9,184,47.92
Great White Shark,4.43,6.82,1072.8,2140.68,65,56.71,19022.36,11,293,211.42
Sand Tiger Shark,2.91,3.3,173.05,312.16,15,21.86,3223.65,9,192,52.45
Great White Shark,4.8,6.15,1158.6,2234.83,74,59.36,18652.92,13,287,202.09
Sand Tiger Shark,3.27,3.47,161.24,278.43,13,24.49,3158.55,8,194,50.03
Great White Shark,4.82,6.04,1190.02,2257.72,65,54.13,16722.11,10,289,193.95
Sand Tiger Shark,3.28,3.03,172.77,306.07,13,23.19,3024.15,9,189,46.1
Great White Shark,4.28,6.11,1075.89,2214.13,74,50.63,16451.9,10,306,209.66
Sand Tiger Shark,2.84,3.12,163.96,278.45,14,26.14,2959.48,9,187,52.98
Great White Shark,4.08,6.73,1062.65,2159.22,63,59.33,16721.61,10,319,187.44
Sand Tiger Shark,3.06,2.97,168.65,315.25,16,22.03,3041.19,8,189,47.55
Great White Shark,4.13,6.83,1006.25,2027.66,63,60.96,18719.59,12,282,184.39
Sand Tiger Shark,2.91,3.07,144.82,272.24,15,25.44,2810.57,9,216,46.5
Great White Shark,4.87,6.9,1110.34,2296.82,74,53.87,17890.21,12,306,211.79
Sand Tiger Shark,2.96,3.2,167.15,315.12,15,23.38,2717.1,9,220,50.13
Great White Shark,4.41,6.71,1059.25,2070.41,66,59.12,18447.88,12,289,202.05
Sand Tiger Shark,2.71,3.02,170.98,322.1,14,23.53,3157.06,9,209,47.74
Great White Shark,4.85,5.97,1178.43,1999.02,67,59.41,19693.72,11,297,215.86
Sand Tiger Shark,2.93,3.01,154.67,310.79,13,25.67,3015.73,9,208,45.72
Great White Shark,4.11,6.02,1067.84,2294.43,73,57.95,18228.43,13,320,201.39
Sand Tiger Shark,3.1,3.06,159.29,301.15,15,22.93,2700.16,9,218,45.95
Great White Shark,4.9,6.05,1004.04,2275.07,75,57.86,18731.75,10,283,184.23
Sand Tiger Shark,2.75,3.4,153.39,317.4,14,24.81,2958.34,8,189,53.58
Great White Shark,4.11,6.72,1017.44,2299.68,76,57.01,18070.16,10,324,185.09
Sand Tiger Shark,3.1,3.08,160.29,301.83,13,24.48,2958.26,9,198,48.35
Great White Shark,4.49,6.16,1126.59,2159.87,64,55.9,18803.36,10,300,181.99
Sand Tiger Shark,2.7,2.93,147.69,294.81,16,25.84,2919.36,8,206,54.82
Great White Shark,4.82,6.19,1132.53,2296.41,76,51.81,17645.71,12,313,187.92
Sand Tiger Shark,2.72,3.41,173.55,274.64,14,23.78,3179.8,8,183,45.76
Great White Shark,4.43,6.78,1115.65,2033.52,71,59.11,16653.65,10,276,182.72
Sand Tiger Shark,2.86,3.06,172.42,271.2,13,24.4,2915.51,8,206,51.07
Great White Shark,4.57,6.3,991.14,2392.2,68,54.1,19593.11,11,326,216.18
Sand Tiger Shark,3.0,3.08,171.13,274.92,14,23.63,2740.82,9,219,53.27
Great White Shark,4.15,6.93,1000.87,2228.7,69,55.03,16650.75,12,274,218.38
Sand Tiger Shark,2.98,3.39,160.69,276.65,15,23.5,2963.28,9,219,51.73
Great White Shark,4.81,5.78,1165.76,2291.89,67,52.21,17919.89,13,279,192.29
Sand Tiger Shark,3.29,3.42,166.78,279.63,13,24.32,2869.62,8,196,52.15
Great White Shark,4.85,6.47,1111.81,2282.38,72,58.13,17547.62,13,303,193.05
Sand Tiger Shark,3.27,3.13,159.39,279.57,14,22.93,2722.86,8,211,47.7
Great White Shark,4.58,6.27,1000.27,2223.74,69,53.84,18168.77,11,320,214.96
Sand Tiger Shark,2.84,2.92,146.56,324.07,15,23.21,2971.99,8,215,53.11
Great White Shark,4.08,6.62,1153.23,2402.11,65,58.05,18414.56,12,308,209.81
Sand Tiger Shark,3.2,3.06,167.04,275.32,16,25.28,3072.12,9,204,48.64
Great White Shark,4.07,6.36,1203.74,2172.51,68,51.14,18329.92,11,301,187.96
Sand Tiger Shark,2.87,3.19,147.96,322.66,16,24.17,2928.95,8,212,50.22
Great White Shark,4.61,5.98,1162.55,2012.66,64,60.67,16800.05,11,309,189.63
Sand Tiger Shark,2.74,2.93,167.26,299.97,13,26.37,3021.61,9,198,52.27
Great White Shark,4.45,6.37,1141.15,2370.9,69,53.38,17636.41,11,311,212.17
Sand Tiger Shark,2.93,2.89,160.19,322.82,16,23.85,2924.38,8,195,49.98
Great White Shark,4.66,6.54,1143.57,2226.86,72,55.73,18298.97,11,272,194.6
Sand Tiger Shark,2.9,3.4,169.36,304.17,15,23.76,3169.74,8,214,54.67
Great White Shark,4.55,6.65,1169.9,2016.3,69,60.56,17608.04,11,292,195.02
Sand Tiger Shark,3.26,3.18,158.15,295.78,13,23.05,2777.91,9,200,46.63
Great White Shark,4.57,6.5,1017.39,2029.94,72,50.69,17330.59,12,298,190.09
Sand Tiger Shark,3.28,2.89,144.07,281.22,14,25.46,2884.91,8,202,45.99
Great White Shark,4.67,6.33,1083.13,2344.76,69,58.3,19705.62,10,322,184.52
Sand Tiger Shark,3.21,3.3,158.81,281.85,13,25.55,2923.07,9,193,46.8
Great White Shark,4.54,6.24,1179.23,2288.4,72,59.39,19580.05,11,304,206.42
Sand Tiger Shark,3.0,2.92,174.9,326.88,15,25.8,3258.9,8,213,46.48
Great White Shark,4.34,6.47,1025.07,2340.9,68,59.09,18495.39,12,293,215.15
Sand Tiger Shark,3.09,3.36,173.03,308.79,16,22.58,3197.71,9,186,50.31
Great White Shark,4.63,6.59,1073.89,2152.89,67,50.54,16912.19,11,296,211.84
Sand Tiger Shark,3.23,3.12,169.01,311.35,13,24.89,2921.7,8,208,45.99
Great White Shark,4.06,6.41,1041.22,2025.03,64,58.65,18697.56,10,311,187.51
Sand Tiger Shark,3.03,3.5,156.41,306.06,13,23.57,2963.37,9,214,49.24
Great White Shark,4.3,6.39,1108.46,2391.23,68,51.07,16655.44,13,280,213.6
Sand Tiger Shark,2.71,2.98,164.5,287.65,13,23.35,3151.33,8,220,53.89
Great White Shark,4.55,6.16,1160.21,2188.8,73,57.14,17155.75,11,290,208.22
Sand Tiger Shark,3.1,3.31,154.27,326.13,13,25.76,3211.64,8,197,51.6
Great White Shark,4.49,6.51,1177.35,2305.86,68,58.29,17119.78,12,315,205.21
Sand Tiger Shark,3.11,3.27,149.82,282.75,15,24.37,3232.71,9,208,54.57
Great White Shark,4.07,6.38,1031.99,2009.55,67,58.88,18310.67,10,315,189.95
Sand Tiger Shark,3.22,3.43,174.74,298.05,16,24.95,3162.1,9,193,45.38
Great White Shark,4.12,6.58,1136.12,2393.48,75,56.01,17535.41,11,283,210.33
Sand Tiger Shark,3.18,2.97,167.0,315.59,16,26.12,3003.9,9,190,46.49
Great White Shark,4.11,6.64,1018.58,2295.74,63,57.48,18751.5,12,321,186.06
Sand Tiger Shark,3.03,3.03,175.38,326.54,14,26.17,2946.88,8,207,45.91
Great White Shark,4.13,5.96,1124.72,2136.55,66,58.63,18070.17,12,295,199.13
Sand Tiger Shark,3.28,3.13,171.96,285.38,16,22.45,3232.87,9,180,46.9
Great White Shark,4.41,6.3,1177.76,2037.58,72,52.6,17611.29,13,290,202.43
Sand Tiger Shark,3.1,3.12,174.82,296.13,16,25.56,3247.93,9,216,54.98
Great White Shark,4.22,6.91,1081.62,1993.18,74,51.44,18838.05,13,330,204.87
Sand Tiger Shark,2.75,2.89,153.6,297.1,16,25.05,3091.33,8,216,54.99
Great White Shark,4.92,6.77,1198.91,2269.02,73,57.33,18012.87,10,314,199.11
Sand Tiger Shark,3.05,3.24,159.68,318.61,13,22.0,3209.54,9,212,48.65
Great White Shark,4.25,5.78,1171.47,1997.51,69,58.05,16838.96,11,298,205.35
Sand Tiger Shark,3.25,2.94,151.78,300.95,13,23.46,2886.99,9,180,49.2
Great White Shark,4.47,5.8,1042.66,2324.72,66,56.43,19793.36,13,328,195.34
Sand Tiger Shark,3.08,3.47,170.74,275.6,13,21.6,3010.43,9,219,50.36
Great White Shark,4.93,6.65,1047.35,2354.44,74,57.69,19015.19,12,318,217.12
Sand Tiger Shark,2.91,3.03,147.99,312.33,15,25.47,2927.22,9,208,46.39
Great White Shark,4.41,5.93,1122.94,2046.36,69,56.33,17047.02,13,292,216.22
Sand Tiger Shark,3.03,3.21,151.92,289.76,14,21.82,3054.79,9,206,53.81
Great White Shark,4.47,6.96,1121.63,2267.99,73,61.14,17628.55,13,327,213.9
Sand Tiger Shark,3.02,3.36,161.48,326.56,15,23.59,3256.45,9,185,46.85
Great White Shark,4.47,6.24,1039.55,2123.23,77,56.46,16820.34,13,324,184.02
Sand Tiger Shark,2.74,3.36,160.29,283.0,16,25.31,3131.04,9,191,49.42
Great White Shark,4.23,6.56,1135.92,2183.23,65,54.44,16410.99,12,286,207.97
Sand Tiger Shark,3.15,3.19,164.49,276.62,16,24.13,3135.51,8,195,49.54
Great White Shark,4.84,6.68,1097.49,2349.33,72,60.49,18283.73,13,283,197.76
Sand Tiger Shark,2.98,2.98,149.67,321.15,16,26.27,2763.26,9,215,49.56
Great White Shark,4.83,5.82,1027.86,2371.13,68,59.14,17414.31,12,297,183.45
Sand Tiger Shark,2.84,2.97,162.26,320.82,15,26.27,2848.71,9,214,48.73
Great White Shark,4.57,6.29,1090.14,2332.82,72,53.63,16341.36,11,324,215.5
Sand Tiger Shark,2.8,3.13,159.19,323.62,16,24.86,2864.57,8,207,47.67
Great White Shark,4.54,5.9,1045.02,2159.9,77,55.73,19529.2,12,329,217.28
Sand Tiger Shark,3.26,3.28,152.28,292.41,15,24.27,3116.22,9,193,45.35
Great White Shark,4.85,6.65,1143.34,1989.18,66,60.28,18771.35,11,306,190.73
Sand Tiger Shark,2.86,2.91,156.44,299.62,15,21.67,2888.89,9,186,48.97
Great White Shark,4.75,5.88,1143.27,2401.35,70,57.0,18492.77,13,322,203.02
Sand Tiger Shark,2.8,3.33,149.5,279.39,15,25.77,2845.86,8,194,49.34
Great White Shark,4.09,6.75,1043.8,2217.05,66,59.17,19590.62,13,311,188.6
Sand Tiger Shark,3.18,3.15,170.76,272.89,13,23.66,2886.36,8,186,45.96
Great White Shark,4.82,6.98,1077.71,2412.59,73,58.78,18085.01,12,287,194.6
Sand Tiger Shark,3.26,3.23,154.85,300.99,16,24.5,2829.18,9,197,49.22
Great White Shark,4.93,6.27,1002.18,2080.58,75,58.31,18399.33,11,283,191.58
Sand Tiger Shark,3.12,3.15,144.09,329.63,15,25.34,2822.54,9,190,51.53
Great White Shark,4.07,6.6,1084.1,2073.91,71,52.22,17463.32,11,320,184.47
Sand Tiger Shark,3.01,3.02,173.37,291.13,13,26.26,3205.0,9,209,48.58
Great White Shark,4.92,6.45,1137.91,2017.08,68,52.74,17451.33,11,295,197.2
Sand Tiger Shark,3.18,3.12,150.1,272.09,16,23.86,2845.75,9,201,50.47
Great White Shark,4.19,6.74,1107.25,2211.76,67,57.1,18798.31,10,322,213.66
Sand Tiger Shark,3.13,3.18,149.17,278.48,15,23.67,3074.67,9,209,47.83
Great White Shark,4.92,6.81,1090.42,2264.31,70,59.24,18300.65,12,309,184.97
Sand Tiger Shark,3.11,3.28,151.67,280.29,13,26.12,3116.89,9,191,52.53
Great White Shark,4.08,6.1,1004.82,2206.52,64,54.63,18707.91,11,317,193.31
Sand Tiger Shark,2.77,3.09,146.88,271.8,15,22.02,2972.39,9,184,54.27
Great White Shark,4.63,6.5,1096.81,2015.32,72,59.17,19776.92,10,325,188.7
Sand Tiger Shark,3.22,3.42,167.26,280.4,16,24.82,2822.45,8,218,51.58
Great White Shark,4.12,6.38,1085.07,2095.43,76,51.53,17711.16,12,277,218.71
Sand Tiger Shark,2.85,3.03,166.65,275.75,14,25.46,2953.0,8,219,52.4
Great White Shark,4.2,6.87,1118.63,2399.45,72,59.62,16372.68,13,273,198.97
Sand Tiger Shark,3.04,3.01,164.85,324.6,13,26.08,2970.04,9,197,47.01
Great White Shark,4.16,6.83,1201.97,2244.22,67,53.15,18332.97,11,318,204.22
Sand Tiger Shark,2.77,3.46,174.83,308.97,16,23.65,3127.59,8,184,47.75
Great White Shark,4.25,5.99,1087.82,2189.16,71,58.69,18309.01,11,286,200.17
Sand Tiger Shark,2.8,2.97,150.11,295.42,14,25.12,3005.8,8,181,48.26
Great White Shark,4.85,6.07,1031.91,2118.13,64,60.63,16815.84,12,311,206.71
Sand Tiger Shark,2.81,3.07,153.24,319.46,13,22.47,3022.35,8,210,48.47
Great White Shark,4.66,5.82,1013.28,2321.5,66,50.41,17582.83,10,283,202.78
Sand Tiger Shark,2.96,2.89,148.8,276.08,16,23.47,3239.88,8,208,46.73
Great White Shark,4.78,6.65,1157.15,2059.65,70,56.28,18284.88,12,277,209.93
Sand Tiger Shark,3.1,3.03,175.01,302.19,14,25.25,2873.95,8,216,48.66
Great White Shark,4.2,5.87,1187.73,2065.4,69,56.58,18314.35,13,282,214.53
Sand Tiger Shark,2.81,2.96,164.46,272.26,16,23.6,3291.84,9,186,48.64
Great White Shark,4.83,7.03,1032.18,2285.85,66,54.83,19778.54,12,319,191.36
Sand Tiger Shark,3.1,3.08,175.15,303.87,15,24.33,2868.55,9,208,51.75
Great White Shark,4.23,6.38,1143.48,2200.14,66,61.23,18449.53,11,287,218.24
Sand Tiger Shark,3.15,3.13,162.59,302.39,15,23.97,2755.96,9,182,45.28
Great White Shark,4.28,6.45,1059.05,2074.61,73,57.17,19096.27,12,325,188.0
Sand Tiger Shark,2.98,2.97,173.24,312.23,13,23.55,2999.56,9,186,51.38
Great White Shark,4.23,6.15,1165.03,2189.13,66,55.45,17927.7,13,323,211.2
Sand Tiger Shark,3.19,3.41,164.06,319.23,16,22.74,2926.76,9,219,50.84
Great White Shark,4.82,5.98,1104.65,2158.5,63,55.93,19726.95,11,282,180.6
Sand Tiger Shark,2.88,3.45,148.75,321.97,15,25.53,3143.21,8,213,46.91
Great White Shark,4.13,6.29,1032.08,2109.47,70,61.18,18454.17,11,302,215.2
Sand Tiger Shark,3.2,2.97,145.12,303.13,15,26.12,3151.06,9,181,45.24
Great White Shark,4.44,6.88,1056.12,2414.72,75,54.37,16715.64,11,326,198.77
Sand Tiger Shark,2.9,3.14,146.6,287.43,16,22.55,3032.83,9,180,48.0
Great White Shark,4.54,6.38,1204.09,2299.12,65,56.21,16631.66,12,285,214.45
Sand Tiger Shark,2.85,2.89,157.83,309.4,14,22.68,2812.28,8,209,47.91
Great White Shark,4.75,6.33,1009.78,2036.13,69,55.25,17539.0,11,281,199.44
Sand Tiger Shark,3.06,3.43,166.05,281.86,15,26.32,3213.63,9,187,48.61
Great White Shark,4.63,6.72,1198.87,2165.2,77,53.6,19731.91,10,272,213.23
Sand Tiger Shark,3.17,2.99,171.08,320.78,16,23.99,3205.5,9,190,48.3
Great White Shark,4.29,5.79,1142.94,2183.63,75,57.21,18608.36,11,326,184.3
Sand Tiger Shark,2.74,3.45,150.13,273.29,13,21.87,3271.57,9,215,46.76
Great White Shark,4.08,6.5,1147.7,2208.08,71,52.64,18963.4,13,307,207.33
Sand Tiger Shark,3.2,3.19,170.62,329.54,16,22.79,3156.23,8,185,53.96
Great White Shark,4.44,6.72,1129.48,2209.04,74,52.62,19636.98,12,305,216.91
Sand Tiger Shark,2.84,3.08,169.41,278.25,14,21.93,3024.58,8,182,46.78
Great White Shark,4.15,6.21,1005.21,2243.64,64,58.06,17375.16,11,289,182.25
Sand Tiger Shark,3.1,3.15,157.7,292.47,16,21.69,3237.94,9,214,46.16
Great White Shark,4.7,6.59,1083.03,2382.65,72,57.08,19201.05,13,292,186.04
Sand Tiger Shark,2.82,3.29,157.58,281.56,15,24.91,2872.89,9,208,46.34
Great White Shark,4.72,6.43,1018.78,2209.24,74,52.41,17948.63,11,295,213.99
Sand Tiger Shark,3.29,3.22,144.9,280.64,16,22.49,2701.13,9,200,51.91
Great White Shark,4.5,6.11,1021.68,2051.75,64,51.79,16619.24,12,319,188.29
Sand Tiger Shark,2.82,3.5,171.91,282.14,13,22.12,2729.84,8,201,52.73
Great White Shark,4.43,6.34,1067.55,2322.19,66,59.58,17818.12,13,304,196.17
Sand Tiger Shark,2.82,3.23,145.01,286.87,16,22.99,2912.18,9,214,48.85
Great White Shark,4.53,6.76,1110.07,2378.83,75,54.85,16447.58,11,315,213.26
Sand Tiger Shark,2.99,3.12,157.06,329.6,16,26.1,2707.34,9,185,45.8
Great White Shark,4.33,6.34,1151.69,2007.46,77,61.0,19304.68,11,317,201.48
Sand Tiger Shark,3.13,2.96,151.27,316.86,13,21.69,3046.26,8,219,45.91
Great White Shark,4.81,6.65,1116.17,2111.34,76,52.28,16751.3,12,299,188.85
Sand Tiger Shark,3.01,2.96,147.0,308.24,15,23.78,3146.11,9,180,53.93
Great White Shark,4.18,6.49,1161.67,2043.01,66,58.0,18321.13,10,275,184.6
Sand Tiger Shark,3.05,3.28,150.2,329.35,14,24.16,3207.22,8,188,50.91
Great White Shark,4.34,6.2,1143.3,2303.0,67,58.39,16254.18,10,275,218.55
Sand Tiger Shark,3.02,3.07,147.23,281.26,14,22.57,2710.19,9,213,51.74
Great White Shark,4.61,5.89,1029.61,2169.5,75,57.23,19140.93,12,298,191.28
Sand Tiger Shark,3.12,2.99,172.9,270.99,16,24.25,2784.33,9,215,54.59
Great White Shark,4.42,5.77,1066.94,2244.17,73,61.31,18281.21,10,307,204.4
Sand Tiger Shark,2.79,3.0,157.59,310.29,15,25.83,3154.54,9,194,52.03
Great White Shark,4.88,6.18,1066.3,2402.6,64,55.96,18111.8,13,329,182.29
Sand Tiger Shark,3.1,3.35,165.11,278.39,13,22.68,2794.26,9,207,49.16
Great White Shark,4.77,5.86,1085.5,2080.98,66,53.22,19381.29,10,293,205.34
Sand Tiger Shark,3.27,2.97,155.67,290.58,13,23.16,2897.92,9,211,51.89
Great White Shark,4.83,6.43,1038.19,2083.63,64,54.48,16356.56,13,282,213.95
Sand Tiger Shark,2.86,3.12,171.78,272.21,15,25.64,3149.74,9,193,50.9
Great White Shark,4.61,6.6,1185.82,2337.98,75,58.23,18844.99,13,310,194.9
Sand Tiger Shark,3.24,3.27,150.46,300.12,16,25.65,3228.56,8,211,48.34
Great White Shark,4.94,6.12,1062.78,2018.13,65,52.2,19073.43,11,313,195.79
Sand Tiger Shark,2.98,2.96,172.97,284.18,14,25.99,2967.85,9,213,51.62
Great White Shark,4.21,6.77,1169.09,2256.19,69,54.44,18214.97,11,298,219.73
Sand Tiger Shark,2.74,3.24,144.68,316.04,13,25.27,2887.72,9,210,50.51
Great White Shark,4.15,6.17,1143.86,2040.36,75,53.35,17080.41,11,318,199.91
Sand Tiger Shark,2.84,3.22,174.61,326.26,14,25.84,2852.32,8,181,45.58
Great White Shark,4.88,5.77,1167.13,2309.29,65,51.22,16925.39,10,284,196.86
Sand Tiger Shark,2.95,3.08,152.7,311.89,15,22.34,3280.66,8,218,47.65
Great White Shark,4.12,6.26,1003.9,2160.71,67,57.19,18125.02,13,313,187.99
Sand Tiger Shark,2.87,3.22,163.35,309.77,15,23.39,3237.71,8,180,49.98
Great White Shark,4.57,6.7,1057.5,2015.06,63,56.74,19265.23,13,273,205.18
Sand Tiger Shark,2.78,3.46,155.92,304.58,13,22.02,3142.59,9,208,49.31
Great White Shark,4.18,6.54,1208.57,2313.7,67,55.68,16722.34,10,270,209.76
Sand Tiger Shark,2.79,3.47,173.41,321.28,15,24.51,2821.07,9,188,54.77
Great White Shark,4.16,5.97,1042.76,2132.61,76,50.76,19707.62,10,289,209.54
Sand Tiger Shark,3.17,3.19,154.77,319.42,13,22.64,3151.3,9,187,45.76
Great White Shark,4.94,6.72,1068.8,1992.53,67,55.79,16670.99,11,314,202.6
Sand Tiger Shark,3.24,3.31,154.09,272.42,16,26.03,2902.85,8,196,54.1
